COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
COMP-193855,Trade Waste,"LIBERTY ASHES, INC.",BIC-112,01/26/2018,Trade Waste,Active,PHONE - 6300,Unable to Contact Complainant,Closed,5.0,Complaint,Quality of Life-Noise - Trade Waste,21602 Linden Blvd,Cambria Heights,NY,11411,Queens,LIBERTY ASHES INC.,94-02 150TH STREET,JAMAICA,NY,11435,,,,,,,False,True,Phone Call,2024-02-21,QUEENS,40.696145,-73.74339,13,27,608,4274304,4127340008,Cambria Heights
INQ-192674,,,,01/05/2016,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,0.0,Inquiry,Misinformation - All,155-25 Jamaica Ave,Jamaica,NY,11432,Queens,,,,,,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.703247,-73.800557,12,24,240,4208820,4097540034,Jamaica
2010-01700,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred To BIC Legal,Closed,,Inquiry,Information - All;Soliciting - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195861,,,,03/30/2021,Trade Waste,,PHONE - 6300,Resolved,Closed,1.0,Complaint,Service - All,265 W 37th Street,,NY,,Manhattan,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2011-00307,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,Beaver St. (svc entrance of 55 Broad St),ny,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-195004,,,,07/17/2019,Trade Waste,,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2012-00739,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01768,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,89-56 211 St.,nyc,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01110,,"TRES CHIC, LTD",TWC-1302,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,,,,"TRES CHIC, LTD",847 SHEPERD AVENUE,BROOKLYN,EXPIRED,,(718) 836-3301,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00681,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All;Recycling - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196316,,,,01/24/2022,Trade Waste,,WEB-MAIL,Withdrawn,Closed,2.0,Complaint,Cardboard-Theft - Trade Waste,1384 Nelson Avenue,Bronx,NY,10452,Bronx,,,,,,,,,,,,True,False,Phone Call,2024-02-21,BRONX,40.841588,-73.922593,4,16,211,2098366,2025200032,Highbridge
2010-00399,,CHESTERFIELD CARTING INC.,TWC-1774,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Rates-Overcharge - Trade Waste,,,,,,CHESTERFIELD CARTING INC.,3301 BARNES AVENUE,BRONX,RENEWAL PENDING,10031-,(718) 798-1195,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01736,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,TWC-1181,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,"Willets Point Blvd, Parsons Blvd",nyc,NY,,Queens,ACTION CARTING ENVIRONMENTAL SERVICES INC.,451 FRELINGHUYSEN AVENUE,NEWARK,RENEWAL APPROVED,,(973) 623-7600,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00336,,"CROWN CONTAINER TRANSFER STATION CO., INC.",TWC-307,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,,,,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,RENEWAL APPROVED,,(718) 527-1414,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190514,Trade Waste,TESTANI ENTERPRISES INC.,BIC-1679,05/05/2014,Trade Waste,Inactive,311/PHONE - 9278,Resolved,Closed,7.0,Complaint,Containers-Unremoved - Trade Waste,7337 181 Street,Fresh Meadows,NY,11366,Queens,TESTANI ENTERPRISES INC.,117 MAGNOLIA AVENUE,WESTBURY,NY,11590-,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.730888,-73.788957,8,24,1339,4153974,4071690005,Fresh Meadows-Utopia
2006-00856,,M & G WATERPROOFING INC.,TWC-1030,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Containers-Theft - Trade Waste,,,NY,,,M & G WATERPROOFING INC.,81 SPENCER STREET,BROOKLYN,WITHDRAWN,,(718) 852-3330,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01085,,,,,Trade Waste,,EMAIL,Resolved,Closed,,Complaint,FOIL - All,,,,,,N/A,,,,07114-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01612,,,,,Trade Waste,,EMAIL,Resolved,Closed,,Complaint,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02363,,TEMPESTA & SON CO. INC.,TWC-851,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Rates-Overcharge - Trade Waste,,,,,,TEMPESTA & SON CO. INC.,1345 SPOFFORD AVENUE,BRONX,RENEWAL PENDING,,(718) 542-0101,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00250,,,,,Trade Waste,,PHONE - 6275,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196497,,,,05/26/2022,Trade Waste,,WEB-MAIL,,Closed,,Complaint,Unlicensed Carter - Trade Waste,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00978,,SHRED-IT USA LLC.,TWC-3930,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Decals - Trade Waste,125 W 125th st.,NY,NY,10027-,NYC,SHRED-IT USA INC.,520 JEFFERSON AVENUE,SECAUCUS,APPROVED,10027-,(201) 865-2480,,,,,,False,False,,2024-02-21,MANHATTAN,40.808215,-73.946502,10,9,222,1081601,1019107501,Central Harlem South
2010-00280,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Information - All,,,,,,N/A,,,,07430-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01765,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,109-30 211 St.,nyc,NY,,Queens,Singh's Landscaping,99-05 211 St,nyc,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193119,,,,08/31/2016,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,1.0,Complaint,Misinformation - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2013-01088,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,,Inquiry,Information - All;Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194370,Trade Waste,TRI STATE DISMANTLING CORP.,BIC-596,09/27/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Quality of Life-Noise - Trade Waste,399 Park Avenue,New York,NY,10022,Manhattan,TRI STATE DISMANTLING CORP.,207 DUPONT STREET,BROOKLYN,NY,11222,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.759541,-73.972245,5,4,100,1071457,1013087502,Turtle Bay-East Midtown
2009-02014,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,10302-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01556,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-01399,,,TWC-NaN,,Trade Waste,,FAX,Resolved,Closed,,Inquiry,FOIL - All,"365 Route 304- Suite 204,",Bardonia,NY,10954-,,N/A,,,,10954-,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190036,,,,01/17/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00067,,NEW YORK DIRT CONTRACTING CORP.,TWC-653,,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,,Complaint,Criminal - All,,,,,,NEW YORK DIRT CONTRACTING CORP.,121 EAST SECOND STREET,MINEOLA,DENIED,,(516) 294-3217,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196412,,,,04/05/2022,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,8.0,Complaint,Decals - Trade Waste,118 W. 27th St.,New York,NY,10001,Manhattan,,,,,,,,,,,,False,True,,2024-02-21,MANHATTAN,40.745749,-73.991764,5,3,95,1015050,1008020054,Midtown-Midtown South
2007-00388,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Rates-Overcharge - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190488,,,,04/27/2014,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,8.0,Complaint,Unlicensed Carter - Trade Waste;Cardboard-Other - Trade Waste,2301 31 Street,Astoria,NY,11103,Queens,,,,,,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.77422,-73.913027,1,22,115,4017186,4008350037,Steinway
COMP-193692,Trade Waste,ROYAL WASTE SERVICES INC.,BIC-1240,10/13/2017,Trade Waste,Active,PHONE - 6300,Resolved,Closed,5.0,Complaint,Quality of Life-Noise - Trade Waste,810 St Marks Ave,Brooklyn,NY,11213,Brooklyn,ROYAL WASTE SERVICES INC.,187- 40 HOLLIS AVENUE,HOLLIS,NY,11423-,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.674979,-73.945985,8,36,341,3031031,3012280017,Crown Heights North
2013-00126,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Service - All,156 th Avenue 78th & 79th St.,Howard Beach,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01075,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,258-02 149 Road,nyc,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00893,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190926,,,,08/07/2014,Trade Waste,,PHONE - 6300,Resolved,Closed,4.0,Inquiry,Information - All,47-09 36th Street,New York,NY,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2007-00358,,MS USA INC.,TWC-1678,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Containers-Abandoned - Trade Waste,,,NY,,,MS USA INC.,183  WILSON STREET SUITE#123,BROOKLYN,RENEWAL PENDING,,(718) 782-8400,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00054,,CROWN WASTE CORP,TWC-311,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Complaint,Contracts - Trade Waste;Rates-Overcharge - Trade Waste,10-01 50th Ave.,LIC,NY,11101-,Queens,CROWN WASTE CORP,1 PLAINVIEW ROAD,BETHPAGE,RENEWAL APPROVED,11101-,(516) 827-5060,,,,,,False,False,,2024-02-21,QUEENS,40.742732,-73.954075,2,26,7,4000230,4000420001,Hunters Point-Sunnyside-West Maspeth
2011-00663,,,,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01788,,G&B CARTING CORP.,TWC-116,,Trade Waste,,MAIL,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,Avenue T and East 58 St.,,NY,,Brooklyn,G&B CARTING CORP.,1385 EAST 29 STREET,BROOKLYN,RENEWAL APPROVED,,(718) 252-6612,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00224,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,101-18 97 Ave.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01376,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-193103,Trade Waste,CROWN CONTAINER CO. INC.,BIC-307,08/23/2016,Trade Waste,Active,311/PHONE - 9278,Violation Written,Closed,1.0,Complaint,Illegal Dumping - Trade Waste,,,,,,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,NY,11803,,,,,,,True,False,In Person,2024-02-21,,,,,,,,,
COMP-189701,,,,11/07/2013,Trade Waste,,E-Mail,Unsubstantiated,Closed,1.0,Complaint,Unlicensed Carter - Trade Waste;Cardboard-Theft - Trade Waste,65 th St. & Bay Parkway,Brooklyn,NY,11204,Brooklyn,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00053,,ALL - MINE CARTING CORP.,TWC-2053,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Complaint,Containers-Unremoved - Trade Waste,,,NY,,,ALL - MINE CARTING CORP.,102 LAKEVIEW AVENUE,WEST ISLIP,RENEWAL APPROVED,,(631) 888-0701,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190257,,,,03/06/2014,Trade Waste,,WEB-MAIL,Resolved,Closed,5.0,Complaint,Billing - All,263 West 38 Street,New York,NY,10018,Manhattan,,,,,,,,,,,,True,False,Letter,2024-02-21,MANHATTAN,40.75423,-73.990468,5,3,113,1014474,1007880011,Midtown-Midtown South
2010-00564,,,TWC-NaN,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Inquiry,Quality of Life-Spillage - Trade Waste,,,,,,N/A,,,,11234-,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191138,,,,09/22/2014,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-193796,Trade Waste,"FIVE STAR CARTING, INC.",BIC-1719,12/18/2017,Trade Waste,Active,311/PHONE - 9278,Unable to Contact Complainant,Closed,8.0,Complaint,Other - All,497 Union Avenue,Brooklyn,NY,11211,Manhattan,"FIVE STAR CARTING, INC.",5835 47TH STREET,MASPETH,NY,11378-,,,,,,,False,True,Phone Call,2024-02-21,BROOKLYN,40.715555,-73.951871,1,33,519,3335669,3023150026,North Side-South Side
2009-00834,,OLYMPIC WASTE REMOVAL CORP.,TWC-1458,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Containers-Unremoved - Trade Waste,142-18 38 Ave,nyc,NY,,Queens,OLYMPIC WASTE REMOVAL CORP.,151-17 84 DRIVE,JAMAICA,RENEWAL PENDING,,(718) 297-4777,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00060,,,TWC-NaN,,Trade Waste,,PHONE - 6275,Resolved,Closed,,Complaint,Service - All,69 Featherbed Lane,Bronx,NY,10452-,Bronx,N/A,,,,10452-,,,,,,,False,False,,2024-02-21,BRONX,40.846401,-73.917198,5,14,21502,2008806,2028760033,University Heights-Morris Heights
COMP-191617,,,,02/09/2015,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,2.0,Complaint,Other - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00760,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,46-40 156 St,nyc,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-01034,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00427,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01255,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Other - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01297,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191633,,,,02/11/2015,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2012-00262,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00996,,"WASTE MANAGEMENT OF NEW YORK, L.L.C.",TWC-1146,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Containers-Unremoved - Trade Waste,,,NY,,,"WASTE MANAGEMENT OF NEW YORK, LLC.",123 VARICK AVENUE,BROOKLYN,RENEWAL PENDING,,(718) 533-5506,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190860,,,,07/21/2014,Trade Waste,,WEB-MAIL,Resolved,Closed,4.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00554,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All,104 Malone Avenue,Staten Island,NY,10306-,Staten Island,N/A,,,,10306-,,,,,,,False,False,,2024-02-21,STATEN IS,40.560264,-74.126117,3,50,13204,5063431,5047140057,Oakwood-Oakwood Beach
2008-00150,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195641,,,,09/10/2020,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Complaint,Other - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194202,,,,07/23/2018,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,0.0,Inquiry,Misinformation - All,501 118th Street,New York,NY,10035,Manhattan,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-196736,,,,12/03/2022,Trade Waste,,WEB-MAIL,Resolved,Closed,2.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2011-00607,,,TWC-NaN,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Criminal - All;Cardboard-Theft - Trade Waste,82-66 Broadway; see 'comments,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-00510,,"METROPOLITAN PAPER RECYCLING, INC.",TWC-1431,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,2818 Ocean Ave.,nyc,NY,11235-,Brooklyn,METROPOLITAN PAPER RECYCLING INC.,847 SHEPHERD AVENUE,BROOKLYN,RENEWAL PENDING,,(718) 257-8584,,,,,,False,False,,2024-02-21,BROOKLYN,40.59236,-73.950088,15,48,592,3203146,3074210006,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2008-01427,,,TWC-1316,,Trade Waste,,FAX,Unsubstantiated,Closed,,Inquiry,Other - All,1740 Richmond Terrace,,NY,10306,Staten Island,BRITE CARTING INC,63 MONTGOMERY AVENUE,STATEN ISLAND,RENEWAL PENDING,,(718) 720-0885,,,,,,False,False,,2024-02-21,STATEN IS,40.637758,-74.123842,1,49,13302,5005340,5001990041,West New Brighton-New Brighton-St. George
INQ-192556,,,,10/27/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2010-01379,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To BIC Legal,Closed,,Inquiry,,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00942,,"CITY WASTE SERVICES OF NEW YORK, INC.",TWC-1153,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,NY,,,CITY WASTE SERVICES INC.,167 33 PORTER ROAD,JAMAICA,RENEWAL EXTENSION,,(718) 328-8582,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01405,,,,,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,,Inquiry,,51-07 Skillman Street,,NY,,Queens,N/A,,,,11377-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00274,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00261,,,TWC-NaN,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Cardboard-Theft - Trade Waste,82 66 Broadway,Elmhurst,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192399,,,,09/09/2015,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,1.0,Complaint,Service - All,187 Ross Street,Brooklyn,NY,,Brooklyn,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2007-00861,,"WASTE MANAGEMENT OF NEW YORK, L.L.C.",TWC-1146,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Contracts - Trade Waste,,,NY,,,"WASTE MANAGEMENT OF NEW YORK, LLC.",123 VARICK AVENUE,BROOKLYN,RENEWAL PENDING,,(718) 533-5506,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195893,,,,04/20/2021,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Complaint,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-192100,,,,06/26/2015,Trade Waste,,311/PHONE - 9278,Insufficient Information,Closed,0.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2010-01022,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Quality of Life-Noise - Trade Waste,UNKNOWN,Sunnyside,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01554,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,223-21 113 Ave,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-189961,Trade Waste,ISABELLA CITY CARTING CORP.,BIC-150,01/06/2014,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,ISABELLA CITY CARTING CORP.,1564 HAIGHT AVENUE,BRONX,NY,10461,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01653,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,11432-,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191809,,,,04/08/2015,Trade Waste,,PHONE - 6300,Referred to Another Agency,Closed,1.0,Complaint,Disposal - All,143 W 69Th St,New York,NY,10023-5105,Manhattan,,,,,,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.776055,-73.981536,7,6,153,1029633,1011410015,Lincoln Square
2012-00333,,,TWC-0,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,92-56 165th street,Jamiaca,NY,,Queens,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-192238,,,,07/28/2015,Trade Waste,,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00683,,"M & G CARTING, LLC",TWC-87,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Inquiry,Misinformation - All,,,,,,M&G CARTING CO LLC.,242 NEVINS STREET,BROOKLYN,RENEWAL EXTENSION,,(212) 689-0332,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00643,,,TWC-0,,Trade Waste,,MAIL,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste,1 Shore Acres Road,nyc,NY,,,S&L Landscaping Inc,81 Ann St.,nyc,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00210,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00508,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Complaint,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00939,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,2102 Gerritsen Ave.,nyc,NY,,Brooklyn,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-01213,,"LIBERTY ASHES, INC.",TWC-112,,Trade Waste,,SELF-INITATED,,,,Inquiry,Hurricane Cleanup,1418 Mermaid Ave,Coney Island,NY,11224-,Brooklyn,LIBERTY ASHES INC.,112 PHYLIS COURT,ELMONT,RENEWAL PENDING,11224,(516) 354-6583,,,,,,False,False,,2024-02-21,BROOKLYN,40.576941,-73.981868,13,47,348,3189615,3070640045,Seagate-Coney Island
